Systemdate,Applewood.InfoHighDump.signal_level,Applewood.InfoHighDump.latency_max_ms,Applewood.InfoHighDump.latency_packet_loss_count,Applewood.InfoHighDump.lte_state,Applewood.InfoHighDump.rssi,Applewood.InfoHighDump.rsrq,Applewood.InfoHighDump.rsrp,Applewood.InfoHighDump.rx_channel,Applewood.InfoHighDump.tx_channel,Applewood.InfoHighDump.band
2026-01-30T01:08:31,31,125,0,4,-52,-12,-82,66961,131697,eutran-66
2026-01-30T01:08:46,31,125,0,4,-49,-13,-82,66961,131697,eutran-66
2026-01-30T01:09:01,31,125,0,4,-48,-15,-82,66961,131697,eutran-66
2026-01-30T01:09:16,30,125,0,4,-53,-12,-83,66961,131697,eutran-66
2026-01-30T01:09:31,31,125,0,4,-50,-12,-81,66961,131697,eutran-66
2026-01-30T01:09:46,30,125,0,4,-53,-11,-82,66961,131697,eutran-66
2026-01-30T01:10:01,31,125,0,4,-50,-12,-82,66961,131697,eutran-66
2026-01-30T01:10:16,31,125,0,4,-49,-13,-82,66961,131697,eutran-66
2026-01-30T01:10:31,29,125,0,4,-54,-10,-81,66961,131697,eutran-66
2026-01-30T01:10:46,30,125,0,4,-53,-13,-82,66961,131697,eutran-66
2026-01-30T01:11:01,30,125,0,4,-53,-10,-81,66961,131697,eutran-66
2026-01-30T01:11:16,31,125,0,4,-49,-13,-81,66961,131697,eutran-66
2026-01-30T01:11:31,30,125,0,4,-53,-12,-82,66961,131697,eutran-66
2026-01-30T01:11:46,31,125,0,4,-47,-14,-82,66961,131697,eutran-66
2026-01-30T01:12:01,30,125,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:12:16,29,125,0,4,-54,-12,-82,66961,131697,eutran-66
2026-01-30T01:12:31,29,125,0,4,-54,-12,-82,66961,131697,eutran-66
2026-01-30T01:12:46,31,125,0,4,-48,-15,-82,66961,131697,eutran-66
2026-01-30T01:13:01,31,125,0,4,-48,-14,-81,66961,131697,eutran-66
2026-01-30T01:13:16,31,125,0,4,-47,-14,-81,66961,131697,eutran-66
2026-01-30T01:13:31,30,125,0,4,-53,-10,-82,66961,131697,eutran-66
2026-01-30T01:13:46,31,125,0,4,-47,-13,-81,66961,131697,eutran-66
2026-01-30T01:14:01,31,125,0,4,-52,-11,-82,66961,131697,eutran-66
2026-01-30T01:14:16,29,125,0,4,-54,-11,-82,66961,131697,eutran-66
2026-01-30T01:14:28,29,125,0,4,-54,-11,-82,66961,131697,eutran-66
2026-01-30T01:14:46,29,125,0,4,-54,-12,-81,66961,131697,eutran-66
2026-01-30T01:15:01,29,125,0,4,-54,-11,-81,66961,131697,eutran-66
2026-01-30T01:15:17,31,125,0,4,-50,-11,-81,66961,131697,eutran-66
2026-01-30T01:15:31,30,125,0,4,-53,-10,-81,66961,131697,eutran-66
2026-01-30T01:15:46,31,125,0,4,-49,-12,-81,66961,131697,eutran-66
2026-01-30T01:16:01,31,125,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T01:16:16,30,125,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:16:31,30,125,0,4,-53,-13,-82,66961,131697,eutran-66
2026-01-30T01:16:46,31,125,0,4,-52,-15,-85,66961,131697,eutran-66
2026-01-30T01:17:01,31,125,0,4,-48,-13,-81,66961,131697,eutran-66
2026-01-30T01:17:16,31,125,0,4,-49,-12,-82,66961,131697,eutran-66
2026-01-30T01:17:31,30,125,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:17:46,31,97,0,4,-50,-13,-81,66961,131697,eutran-66
2026-01-30T01:18:02,31,97,0,4,-51,-11,-81,66961,131697,eutran-66
2026-01-30T01:18:17,30,97,0,4,-53,-11,-80,66961,131697,eutran-66
2026-01-30T01:18:32,31,97,0,4,-52,-13,-82,66961,131697,eutran-66
2026-01-30T01:18:47,31,97,0,4,-47,-13,-82,66961,131697,eutran-66
2026-01-30T01:19:02,29,97,0,4,-54,-12,-82,66961,131697,eutran-66
2026-01-30T01:19:17,31,97,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T01:19:32,29,97,0,4,-54,-10,-81,66961,131697,eutran-66
2026-01-30T01:19:47,31,97,0,4,-50,-11,-81,66961,131697,eutran-66
2026-01-30T01:20:02,31,97,0,4,-49,-13,-81,66961,131697,eutran-66
2026-01-30T01:20:17,31,97,0,4,-49,-14,-81,66961,131697,eutran-66
2026-01-30T01:20:32,31,97,0,4,-51,-13,-81,66961,131697,eutran-66
2026-01-30T01:20:43,31,97,0,4,-51,-13,-81,66961,131697,eutran-66
2026-01-30T01:20:58,31,97,0,4,-51,-12,-82,66961,131697,eutran-66
2026-01-30T01:21:17,31,97,0,4,-49,-12,-81,66961,131697,eutran-66
2026-01-30T01:21:32,31,97,0,4,-52,-10,-81,66961,131697,eutran-66
2026-01-30T01:21:47,31,97,0,4,-52,-10,-81,66961,131697,eutran-66
2026-01-30T01:22:02,30,97,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:22:17,31,97,0,4,-48,-12,-79,66961,131697,eutran-66
2026-01-30T01:22:32,31,97,0,4,-52,-10,-81,66961,131697,eutran-66
2026-01-30T01:22:47,31,97,0,4,-50,-13,-82,66961,131697,eutran-66
2026-01-30T01:23:02,30,97,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:23:17,30,97,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:23:32,31,97,0,4,-49,-13,-81,66961,131697,eutran-66
2026-01-30T01:23:47,31,97,0,4,-47,-14,-80,66961,131697,eutran-66
2026-01-30T01:24:02,31,97,0,4,-50,-14,-82,66961,131697,eutran-66
2026-01-30T01:24:17,31,97,0,4,-50,-13,-80,66961,131697,eutran-66
2026-01-30T01:24:32,31,97,0,4,-52,-12,-82,66961,131697,eutran-66
2026-01-30T01:24:47,31,97,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T01:25:02,30,97,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:25:17,31,97,0,4,-48,-12,-80,66961,131697,eutran-66
2026-01-30T01:25:32,31,97,0,4,-48,-14,-81,66961,131697,eutran-66
2026-01-30T01:25:47,31,97,0,4,-49,-14,-80,66961,131697,eutran-66
2026-01-30T01:26:02,31,97,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T01:26:17,31,97,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T01:26:32,31,97,0,4,-52,-11,-82,66961,131697,eutran-66
2026-01-30T01:26:47,31,97,0,4,-49,-15,-82,66961,131697,eutran-66
2026-01-30T01:26:59,31,97,0,4,-49,-15,-82,66961,131697,eutran-66
2026-01-30T01:27:18,31,97,0,4,-52,-12,-82,66961,131697,eutran-66
2026-01-30T01:27:32,31,97,0,4,-48,-14,-81,66961,131697,eutran-66
2026-01-30T01:27:47,31,42,0,4,-47,-15,-81,66961,131697,eutran-66
